file,scenario,sheet,cell,expected_detection,exception_type,reason
06_급여_초과근무.xlsx,급여·초과근무 계산,급여계산,G57:I57,SHOULD_NOT_DETECT,MANUAL_ADJUSTMENT_ROW,일회성 지급 조정
06_급여_초과근무.xlsx,급여·초과근무 계산,급여계산,E58:I58,SHOULD_NOT_DETECT,GRAND_TOTAL_ROW,소계와 조정 합계
07_프로젝트_손익관리.xlsx,프로젝트 손익 관리,손익분석,B36:G36,SHOULD_NOT_DETECT,SUBTOTAL_ROW,프로젝트 전체 소계
07_프로젝트_손익관리.xlsx,프로젝트 손익 관리,손익분석,B37:G37,SHOULD_NOT_DETECT,MANUAL_ADJUSTMENT_ROW,의도적인 경영조정
07_프로젝트_손익관리.xlsx,프로젝트 손익 관리,손익분석,B38:G38,SHOULD_NOT_DETECT,GRAND_TOTAL_ROW,조정 반영 최종 합계
08_대출상환_스케줄.xlsx,원리금 균등 대출 상환표,상환스케줄,C6,SHOULD_NOT_DETECT,FIRST_PERIOD_SEED,첫 회차 기초잔액은 조건 시트 원금을 직접 참조하는 정상 경계식
08_대출상환_스케줄.xlsx,원리금 균등 대출 상환표,상환스케줄,D66:F66,SHOULD_NOT_DETECT,GRAND_TOTAL_ROW,상환기간 전체 합계
09_구독_KPI_관리.xlsx,구독형 서비스 KPI 관리,월별KPI,E6,SHOULD_NOT_DETECT,FIRST_PERIOD_SEED,첫 달 기말MRR은 누적 전월이 없어 순증MRR로 시작하는 정상 경계식
09_구독_KPI_관리.xlsx,구독형 서비스 KPI 관리,월별KPI,B30:H30,SHOULD_NOT_DETECT,SUMMARY_ROW,24개월 합계·평균 요약 행
10_경영대시보드_정상패턴.xlsx,경영 대시보드 정상 통제 파일,거래데이터,A5:F125,SHOULD_NOT_DETECT,EXCEL_TABLE,원천 데이터가 Excel Table로 구성된 정상 구조
10_경영대시보드_정상패턴.xlsx,경영 대시보드 정상 통제 파일,부서요약,B6:E9,SHOULD_NOT_DETECT,CLEAN_FORMULA_REGION,일관된 정상 반복 수식
10_경영대시보드_정상패턴.xlsx,경영 대시보드 정상 통제 파일,부서요약,B10:E10,SHOULD_NOT_DETECT,GRAND_TOTAL_ROW,전사 합계
10_경영대시보드_정상패턴.xlsx,경영 대시보드 정상 통제 파일,월별추이,B6:E17,SHOULD_NOT_DETECT,CLEAN_FORMULA_REGION,12개월 정상 반복 수식
10_경영대시보드_정상패턴.xlsx,경영 대시보드 정상 통제 파일,월별추이,B18:E18,SHOULD_NOT_DETECT,SUBTOTAL_ROW,연간 소계
10_경영대시보드_정상패턴.xlsx,경영 대시보드 정상 통제 파일,월별추이,B19:E19,SHOULD_NOT_DETECT,MANUAL_ADJUSTMENT_ROW,정상적인 경영조정
10_경영대시보드_정상패턴.xlsx,경영 대시보드 정상 통제 파일,월별추이,B20:E20,SHOULD_NOT_DETECT,GRAND_TOTAL_ROW,조정 반영 합계
10_경영대시보드_정상패턴.xlsx,경영 대시보드 정상 통제 파일,경영요약,A11:D14,SHOULD_NOT_DETECT,DASHBOARD_REFERENCE_BLOCK,요약 시트의 정상 참조 블록
