file,scenario,sheet,cell,expected_detection,expected_rule,expected_subtype,severity,description,why_it_matters,manual_check
05_예산대비실적.xlsx,부서별 예산 대비 실적,부서별분석,D12,SHOULD_DETECT,FORMULA_PATTERN_GAP,CONSTANT_OVERRIDE_CANDIDATE,HIGH,실적 집계열에서 수식 대신 상수 입력,원천 실적 데이터가 바뀌어도 해당 계정 실적이 갱신되지 않음,"D11, D13의 SUMIFS 구조와 비교"
05_예산대비실적.xlsx,부서별 예산 대비 실적,부서별분석,E25,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,HIGH,차이 계산이 현재 행 실적이 아닌 이전 행 실적을 참조,해당 계정의 예산 대비 차이가 다른 계정 실적으로 계산될 수 있음,"E24, E26의 D-C 참조 행과 비교"
05_예산대비실적.xlsx,부서별 예산 대비 실적,부서별분석,F38,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,FUNCTION_PATTERN_DRIFT,MEDIUM,달성률 계산에서 주변의 IFERROR 보호가 한 셀만 제거됨,예산이 0인 경우 오류가 노출될 수 있고 패턴 유지보수성이 저하됨,"F37, F39의 IFERROR 구조와 비교"
05_예산대비실적.xlsx,부서별 예산 대비 실적,부서별분석,C50,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,HIGH,예산 SUMIFS가 현재 부서가 아닌 이전 행 부서를 참조,다른 부서의 동일 계정 예산이 집계될 수 있음,"C49, C51의 A열 기준행과 비교"
06_급여_초과근무.xlsx,급여·초과근무 계산,급여계산,D18,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,HIGH,시간당수당이 현재 직원 기본급이 아닌 이전 행 기본급을 참조,다른 직원의 급여 기준으로 초과근무수당이 계산될 수 있음,"D17, D19의 B열 현재행 참조와 비교"
06_급여_초과근무.xlsx,급여·초과근무 계산,급여계산,E26,SHOULD_DETECT,FORMULA_PATTERN_GAP,CONSTANT_OVERRIDE_CANDIDATE,HIGH,초과근무수당 계산열에 고정 금액 입력,초과근무시간이나 단가 변경이 반영되지 않음,"E25, E27의 C×D 구조와 비교"
06_급여_초과근무.xlsx,급여·초과근무 계산,급여계산,G33,SHOULD_DETECT,FORMULA_PATTERN_GAP,BLANK_GAP_CANDIDATE,HIGH,지급총액 계산열의 중간 셀이 비어 있음,급여 합계와 실수령액 계산이 누락될 수 있음,"G32, G34의 기본급+수당+식대 구조와 비교"
06_급여_초과근무.xlsx,급여·초과근무 계산,급여계산,I44,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,HIGH,실수령액이 현재 행 공제가 아닌 이전 행 공제를 참조,다른 직원의 공제액이 적용될 수 있음,"I43, I45의 G-H 현재행 참조와 비교"
07_프로젝트_손익관리.xlsx,프로젝트 손익 관리,손익분석,C11,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,HIGH,누적매출 SUMIF가 현재 프로젝트가 아닌 이전 행 프로젝트를 기준으로 집계,다른 프로젝트의 매출이 연결될 수 있음,"C10, C12의 A열 기준행과 비교"
07_프로젝트_손익관리.xlsx,프로젝트 손익 관리,손익분석,E17,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,FUNCTION_PATTERN_DRIFT,HIGH,매출총이익 열에서 한 셀만 매출과 비용을 더하는 SUM 사용,비용을 차감하지 않아 이익이 과대 계산될 수 있음,"E16, E18의 C-D 구조와 비교"
07_프로젝트_손익관리.xlsx,프로젝트 손익 관리,손익분석,F23,SHOULD_DETECT,FORMULA_PATTERN_GAP,CONSTANT_OVERRIDE_CANDIDATE,MEDIUM,마진율 계산열에 고정 비율 입력,매출·이익 변동이 마진율에 반영되지 않음,"F22, F24의 IFERROR(E/C) 구조와 비교"
07_프로젝트_손익관리.xlsx,프로젝트 손익 관리,손익분석,G29,SHOULD_DETECT,FORMULA_PATTERN_GAP,BLANK_GAP_CANDIDATE,HIGH,잔여계약액 계산열의 중간 셀이 비어 있음,잔여 매출 기회와 계약 관리 보고에서 누락될 수 있음,"G28, G30의 B-C 구조와 비교"
08_대출상환_스케줄.xlsx,원리금 균등 대출 상환표,상환스케줄,D20,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,REFERENCE_CELL_DRIFT,HIGH,이자 계산식이 연이율 셀이 아닌 기간(개월) 셀을 참조,이자 금액이 비정상적으로 계산될 수 있음,"D19, D21의 조건!B7 참조와 비교"
08_대출상환_스케줄.xlsx,원리금 균등 대출 상환표,상환스케줄,E34,SHOULD_DETECT,FORMULA_PATTERN_GAP,CONSTANT_OVERRIDE_CANDIDATE,HIGH,원금 계산열에 수식 대신 고정 금액 입력,이자·납입액 변경이 원금에 반영되지 않아 잔액이 왜곡될 수 있음,"E33, E35의 F-D 구조와 비교"
08_대출상환_스케줄.xlsx,원리금 균등 대출 상환표,상환스케줄,G47,SHOULD_DETECT,FORMULA_PATTERN_GAP,BLANK_GAP_CANDIDATE,HIGH,기말잔액 계산열 중간 셀이 비어 있음,다음 회차 기초잔액 연결이 끊어질 수 있음,"G46, G48 및 C48의 연결 구조 확인"
08_대출상환_스케줄.xlsx,원리금 균등 대출 상환표,상환스케줄,F52,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,FUNCTION_PATTERN_DRIFT,HIGH,납입액 열에서 한 셀만 MIN 대신 MAX를 사용,잔액보다 큰 납입액이 계산될 수 있음,"F51, F53의 MIN 구조와 비교"
09_구독_KPI_관리.xlsx,구독형 서비스 KPI 관리,월별KPI,B10,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,HIGH,신규MRR 집계가 현재 월이 아닌 이전 행 월을 시작 기준으로 사용,여러 달의 신규 MRR이 중복 집계될 수 있음,"B9, B11의 A열 현재행 기준과 비교"
09_구독_KPI_관리.xlsx,구독형 서비스 KPI 관리,월별KPI,D14,SHOULD_DETECT,FORMULA_PATTERN_GAP,CONSTANT_OVERRIDE_CANDIDATE,HIGH,순증MRR 계산열에 고정 금액 입력,신규·해지MRR 변동이 순증에 반영되지 않음,"D13, D15의 B-C 구조와 비교"
09_구독_KPI_관리.xlsx,구독형 서비스 KPI 관리,월별KPI,G18,SHOULD_DETECT,FORMULA_PATTERN_GAP,BLANK_GAP_CANDIDATE,MEDIUM,ARPU 계산열의 중간 셀이 비어 있음,월별 단가 추이와 요약에서 누락될 수 있음,"G17, G19의 E/F 구조와 비교"
09_구독_KPI_관리.xlsx,구독형 서비스 KPI 관리,월별KPI,H23,SHOULD_DETECT,FORMULA_PATTERN_OUTLIER,RELATIVE_REFERENCE_DRIFT,MEDIUM,해지율 분모가 전월 기초 MRR 성격이 아닌 현재 기말MRR로 변경됨,해지율이 주변 월과 다른 기준으로 계산될 수 있음,"H22, H24의 E-D 분모 구조와 비교"
